######################### Start train #########################
Tot_step: 202378 	 | Episode: 1920 	 | Time: 376.05 	 | Reward : 1914.739 	 | actor_loss : -161.414 	 | critic_loss : 55.058
Tot_step: 209533 	 | Episode: 1940 	 | Time: 357.75 	 | Reward : 1815.324 	 | actor_loss : -164.181 	 | critic_loss : 56.026
Tot_step: 218609 	 | Episode: 1960 	 | Time: 453.80 	 | Reward : 2292.162 	 | actor_loss : -166.431 	 | critic_loss : 56.556
Tot_step: 228777 	 | Episode: 1980 	 | Time: 508.40 	 | Reward : 2599.390 	 | actor_loss : -170.401 	 | critic_loss : 57.118
Tot_step: 238276 	 | Episode: 2000 	 | Time: 474.95 	 | Reward : 2397.662 	 | actor_loss : -174.112 	 | critic_loss : 57.338
Tot_step: 248295 	 | Episode: 2020 	 | Time: 500.95 	 | Reward : 2539.619 	 | actor_loss : -177.951 	 | critic_loss : 59.491
Tot_step: 258869 	 | Episode: 2040 	 | Time: 528.70 	 | Reward : 2690.680 	 | actor_loss : -180.795 	 | critic_loss : 58.921
Tot_step: 272881 	 | Episode: 2060 	 | Time: 700.60 	 | Reward : 3573.429 	 | actor_loss : -184.479 	 | critic_loss : 58.897
Tot_step: 289031 	 | Episode: 2080 	 | Time: 807.50 	 | Reward : 4116.364 	 | actor_loss : -191.014 	 | critic_loss : 58.768
Tot_step: 305206 	 | Episode: 2100 	 | Time: 808.75 	 | Reward : 4123.903 	 | actor_loss : -198.254 	 | critic_loss : 59.320
Tot_step: 321140 	 | Episode: 2120 	 | Time: 796.70 	 | Reward : 4024.257 	 | actor_loss : -204.471 	 | critic_loss : 59.881
Tot_step: 339469 	 | Episode: 2140 	 | Time: 916.45 	 | Reward : 4621.984 	 | actor_loss : -211.936 	 | critic_loss : 60.041
Tot_step: 359284 	 | Episode: 2160 	 | Time: 990.75 	 | Reward : 5019.025 	 | actor_loss : -219.997 	 | critic_loss : 59.916
Tot_step: 377212 	 | Episode: 2180 	 | Time: 896.40 	 | Reward : 4528.293 	 | actor_loss : -229.767 	 | critic_loss : 59.402
Tot_step: 396439 	 | Episode: 2200 	 | Time: 961.35 	 | Reward : 4859.925 	 | actor_loss : -239.659 	 | critic_loss : 60.633
Tot_step: 415349 	 | Episode: 2220 	 | Time: 945.50 	 | Reward : 4782.737 	 | actor_loss : -248.502 	 | critic_loss : 61.171
Tot_step: 435122 	 | Episode: 2240 	 | Time: 988.65 	 | Reward : 4998.890 	 | actor_loss : -257.663 	 | critic_loss : 60.419
Tot_step: 454385 	 | Episode: 2260 	 | Time: 963.15 	 | Reward : 4856.875 	 | actor_loss : -265.658 	 | critic_loss : 60.081
Tot_step: 473637 	 | Episode: 2280 	 | Time: 962.60 	 | Reward : 4897.356 	 | actor_loss : -273.623 	 | critic_loss : 58.998
Tot_step: 493369 	 | Episode: 2300 	 | Time: 986.60 	 | Reward : 5039.299 	 | actor_loss : -280.598 	 | critic_loss : 57.868
Tot_step: 511794 	 | Episode: 2320 	 | Time: 921.25 	 | Reward : 4701.421 	 | actor_loss : -287.718 	 | critic_loss : 56.874
Tot_step: 530201 	 | Episode: 2340 	 | Time: 920.35 	 | Reward : 4634.627 	 | actor_loss : -293.167 	 | critic_loss : 58.781
Tot_step: 548983 	 | Episode: 2360 	 | Time: 939.10 	 | Reward : 4779.576 	 | actor_loss : -296.733 	 | critic_loss : 57.308
Tot_step: 567534 	 | Episode: 2380 	 | Time: 927.55 	 | Reward : 4767.613 	 | actor_loss : -300.393 	 | critic_loss : 56.438
Tot_step: 586723 	 | Episode: 2400 	 | Time: 959.45 	 | Reward : 4883.598 	 | actor_loss : -304.411 	 | critic_loss : 55.542
Tot_step: 606537 	 | Episode: 2420 	 | Time: 990.70 	 | Reward : 5020.641 	 | actor_loss : -309.848 	 | critic_loss : 53.179
